,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.158536207858
Australia-Mining and Quarrying,0.185487671714
"Australia-Food, Beverages and Tobacco",0.137925395401
Australia-Textiles and Textile Products,0.1345708233
"Australia-Leather, Leather and Footwear",0.129759776642
Australia-Wood and Products of Wood and Cork,0.128200259613
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.130291553359
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.131940595559
Australia-Chemicals and Chemical Products,0.137083192433
Australia-Rubber and Plastics,0.130349137945
Australia-Other Non-Metallic Mineral,0.125679854439
Australia-Basic Metals and Fabricated Metal,0.155548200878
"Australia-Machinery, Nec",0.135424273393
Australia-Electrical and Optical Equipment,0.135917579
Australia-Transport Equipment,0.138370790266
"Australia-Manufacturing, Nec; Recycling",0.130883844963
"Australia-Electricity, Gas and Water Supply",0.117502397889
Australia-Construction,0.075673372964
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.123837635508
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0958272126282
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.101449065184
Australia-Hotels and Restaurants,0.12665469084
Australia-Inland Transport,0.118807287038
Australia-Water Transport,0.128846756262
Australia-Air Transport,0.135015025518
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.124391570582
Australia-Post and Telecommunications,0.120254076136
Australia-Financial Intermediation,0.0996816394464
Australia-Real Estate Activities,0.0618965982967
Australia-Renting of M&Eq and Other Business Activities,0.100855245155
Australia-Public Admin and Defence; Compulsory Social Security,0.103220597385
Australia-Education,0.116024649716
Australia-Health and Social Work,0.0998584942178
"Australia-Other Community, Social and Personal Services",0.11210945714
Australia-Private Households with Employed Persons,0.128336201633
"Austria-Agriculture, Hunting, Forestry and Fishing",0.127861245058
Austria-Mining and Quarrying,0.128581217902
"Austria-Food, Beverages and Tobacco",0.131764534625
Austria-Textiles and Textile Products,0.139346382635
"Austria-Leather, Leather and Footwear",0.131279010535
Austria-Wood and Products of Wood and Cork,0.132764264836
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.144981612728
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.134811070059
Austria-Chemicals and Chemical Products,0.14925598672
Austria-Rubber and Plastics,0.137177417213
Austria-Other Non-Metallic Mineral,0.133065534228
Austria-Basic Metals and Fabricated Metal,0.152175211035
"Austria-Machinery, Nec",0.161055005668
Austria-Electrical and Optical Equipment,0.163884599007
Austria-Transport Equipment,0.148315392448
"Austria-Manufacturing, Nec; Recycling",0.133644763614
"Austria-Electricity, Gas and Water Supply",0.127977083243
Austria-Construction,0.12307737385
"Austria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.125891723497
"Austria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.121050111789
"Austria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.115990569917
Austria-Hotels and Restaurants,0.111262020928
Austria-Inland Transport,0.130563374362
Austria-Water Transport,0.128479565772
Austria-Air Transport,0.128012334495
Austria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.13332467345
Austria-Post and Telecommunications,0.128277312297
Austria-Financial Intermediation,0.127646802579
Austria-Real Estate Activities,0.0995051027461
Austria-Renting of M&Eq and Other Business Activities,0.145813196455
Austria-Public Admin and Defence; Compulsory Social Security,0.104254541448
Austria-Education,0.108879513547
Austria-Health and Social Work,0.11159022846
"Austria-Other Community, Social and Personal Services",0.120129922178
Austria-Private Households with Employed Persons,0.128225264156
"Belgium-Agriculture, Hunting, Forestry and Fishing",0.133953438004
Belgium-Mining and Quarrying,0.136011623749
"Belgium-Food, Beverages and Tobacco",0.181805963861
Belgium-Textiles and Textile Products,0.15742406129
"Belgium-Leather, Leather and Footwear",0.129665546326
Belgium-Wood and Products of Wood and Cork,0.131938988922
"Belgium-Pulp, Paper, Paper , Printing and Publishing",0.141851086667
"Belgium-Coke, Refined Petroleum and Nuclear Fuel",0.144247147044
Belgium-Chemicals and Chemical Products,0.207140827256
Belgium-Rubber and Plastics,0.143953987618
Belgium-Other Non-Metallic Mineral,0.148233138282
Belgium-Basic Metals and Fabricated Metal,0.170202664555
"Belgium-Machinery, Nec",0.163372562
Belgium-Electrical and Optical Equipment,0.161502221564
Belgium-Transport Equipment,0.189846913589
"Belgium-Manufacturing, Nec; Recycling",0.148074878399
"Belgium-Electricity, Gas and Water Supply",0.1277081088
Belgium-Construction,0.127302332688
"Belgium-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.125833507142
"Belgium-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.149627982097
"Belgium-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.125417752367
Belgium-Hotels and Restaurants,0.131953213012
Belgium-Inland Transport,0.133722019726
Belgium-Water Transport,0.132648303841
Belgium-Air Transport,0.13557672734
Belgium-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.14567525351
Belgium-Post and Telecommunications,0.134211799567
Belgium-Financial Intermediation,0.12854796725
Belgium-Real Estate Activities,0.0995372948921
Belgium-Renting of M&Eq and Other Business Activities,0.16166634185
Belgium-Public Admin and Defence; Compulsory Social Security,0.105945044722
Belgium-Education,0.109184344581
Belgium-Health and Social Work,0.111903795185
"Belgium-Other Community, Social and Personal Services",0.126796728381
Belgium-Private Households with Employed Persons,0.127687328179
"Bulgaria-Agriculture, Hunting, Forestry and Fishing",0.0818646466964
Bulgaria-Mining and Quarrying,0.126266940846
"Bulgaria-Food, Beverages and Tobacco",0.105818032381
Bulgaria-Textiles and Textile Products,0.128276643111
"Bulgaria-Leather, Leather and Footwear",0.13004484226
Bulgaria-Wood and Products of Wood and Cork,0.128619623363
"Bulgaria-Pulp, Paper, Paper , Printing and Publishing",0.133666005009
"Bulgaria-Coke, Refined Petroleum and Nuclear Fuel",0.156659744648
Bulgaria-Chemicals and Chemical Products,0.134711661925
Bulgaria-Rubber and Plastics,0.130873848207
Bulgaria-Other Non-Metallic Mineral,0.130994863528
Bulgaria-Basic Metals and Fabricated Metal,0.132204512762
"Bulgaria-Machinery, Nec",0.129969036526
Bulgaria-Electrical and Optical Equipment,0.130063457801
Bulgaria-Transport Equipment,0.129371122962
"Bulgaria-Manufacturing, Nec; Recycling",0.128424952826
"Bulgaria-Electricity, Gas and Water Supply",0.141788577538
Bulgaria-Construction,0.130451748212
"Bulgaria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.127246160759
"Bulgaria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.121161629011
"Bulgaria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.125915369649
Bulgaria-Hotels and Restaurants,0.121626624152
Bulgaria-Inland Transport,0.127845067147
Bulgaria-Water Transport,0.12849217265
Bulgaria-Air Transport,0.128766960687
Bulgaria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.126197541711
Bulgaria-Post and Telecommunications,0.125501885394
Bulgaria-Financial Intermediation,0.12644475788
Bulgaria-Real Estate Activities,0.0863259035641
Bulgaria-Renting of M&Eq and Other Business Activities,0.12240769874
Bulgaria-Public Admin and Defence; Compulsory Social Security,0.116361434787
Bulgaria-Education,0.117659302878
Bulgaria-Health and Social Work,0.125195525415
"Bulgaria-Other Community, Social and Personal Services",0.125526346578
Bulgaria-Private Households with Employed Persons,0.128336201633
"Brazil-Agriculture, Hunting, Forestry and Fishing",0.108192924528
Brazil-Mining and Quarrying,0.112151331261
"Brazil-Food, Beverages and Tobacco",0.125760426548
Brazil-Textiles and Textile Products,0.119792278023
"Brazil-Leather, Leather and Footwear",0.132685054897
Brazil-Wood and Products of Wood and Cork,0.127441930066
"Brazil-Pulp, Paper, Paper , Printing and Publishing",0.135991954102
"Brazil-Coke, Refined Petroleum and Nuclear Fuel",0.159448708313
Brazil-Chemicals and Chemical Products,0.142228082269
Brazil-Rubber and Plastics,0.136842509698
Brazil-Other Non-Metallic Mineral,0.124816299167
Brazil-Basic Metals and Fabricated Metal,0.139610537481
"Brazil-Machinery, Nec",0.137205124275
Brazil-Electrical and Optical Equipment,0.16300171922
Brazil-Transport Equipment,0.165395874941
"Brazil-Manufacturing, Nec; Recycling",0.126676400228
"Brazil-Electricity, Gas and Water Supply",0.0955967847751
Brazil-Construction,0.0759400629561
"Brazil-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.108131574728
"Brazil-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0909326567866
"Brazil-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0642263475675
Brazil-Hotels and Restaurants,0.105045794763
Brazil-Inland Transport,0.102967032598
Brazil-Water Transport,0.126147403398
Brazil-Air Transport,0.125035173232
Brazil-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.116861973855
Brazil-Post and Telecommunications,0.11380258278
Brazil-Financial Intermediation,0.0288387209786
Brazil-Real Estate Activities,-0.012503420527
Brazil-Renting of M&Eq and Other Business Activities,0.0631095918234
Brazil-Public Admin and Defence; Compulsory Social Security,-0.00343109685908
Brazil-Education,0.0643381312638
Brazil-Health and Social Work,0.103490595189
"Brazil-Other Community, Social and Personal Services",0.085924938744
Brazil-Private Households with Employed Persons,0.128336201632
"Canada-Agriculture, Hunting, Forestry and Fishing",0.147175281558
Canada-Mining and Quarrying,0.181919080265
"Canada-Food, Beverages and Tobacco",0.137444948622
Canada-Textiles and Textile Products,0.134031284368
"Canada-Leather, Leather and Footwear",0.128919290424
Canada-Wood and Products of Wood and Cork,0.139464987068
"Canada-Pulp, Paper, Paper , Printing and Publishing",0.15479631035
"Canada-Coke, Refined Petroleum and Nuclear Fuel",0.135696933699
Canada-Chemicals and Chemical Products,0.143566532914
Canada-Rubber and Plastics,0.135129763867
Canada-Other Non-Metallic Mineral,0.12925750803
Canada-Basic Metals and Fabricated Metal,0.151973868259
"Canada-Machinery, Nec",0.141996655891
Canada-Electrical and Optical Equipment,0.154045707468
Canada-Transport Equipment,0.166907017746
"Canada-Manufacturing, Nec; Recycling",0.136296937149
"Canada-Electricity, Gas and Water Supply",0.12650800606
Canada-Construction,0.121525746731
"Canada-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.127153987133
"Canada-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.129221744033
"Canada-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.113482739373
Canada-Hotels and Restaurants,0.172886010745
Canada-Inland Transport,0.130492639993
Canada-Water Transport,0.129531741546
Canada-Air Transport,0.131972897967
Canada-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.129930304909
Canada-Post and Telecommunications,0.12260291964
Canada-Financial Intermediation,0.107887405868
Canada-Real Estate Activities,0.0920110207903
Canada-Renting of M&Eq and Other Business Activities,0.120480611304
Canada-Public Admin and Defence; Compulsory Social Security,0.0868195071313
Canada-Education,0.107884417441
Canada-Health and Social Work,0.110548542052
"Canada-Other Community, Social and Personal Services",0.132425577494
Canada-Private Households with Employed Persons,0.127580856204
"China-Agriculture, Hunting, Forestry and Fishing",0.0294817567842
China-Mining and Quarrying,0.100162242311
"China-Food, Beverages and Tobacco",0.083955245277
China-Textiles and Textile Products,0.251871911693
"China-Leather, Leather and Footwear",0.15535340572
China-Wood and Products of Wood and Cork,0.131491088795
"China-Pulp, Paper, Paper , Printing and Publishing",0.133473666292
"China-Coke, Refined Petroleum and Nuclear Fuel",0.141711440843
China-Chemicals and Chemical Products,0.165579568943
China-Rubber and Plastics,0.159835722746
China-Other Non-Metallic Mineral,0.104721487419
China-Basic Metals and Fabricated Metal,0.148223820372
"China-Machinery, Nec",0.140060132538
China-Electrical and Optical Equipment,0.280529093045
China-Transport Equipment,0.133259559589
"China-Manufacturing, Nec; Recycling",0.147453306581
"China-Electricity, Gas and Water Supply",0.110613036797
China-Construction,0.039055038909
"China-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.128336201633
"China-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0944244052677
"China-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.133240622329
China-Hotels and Restaurants,0.122437118747
China-Inland Transport,0.110381454215
China-Water Transport,0.127038291352
China-Air Transport,0.135537626841
China-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.129351993146
China-Post and Telecommunications,0.131140189674
China-Financial Intermediation,0.0999470444871
China-Real Estate Activities,0.0955285791149
China-Renting of M&Eq and Other Business Activities,0.137824711286
China-Public Admin and Defence; Compulsory Social Security,0.093109496679
China-Education,0.106058332562
China-Health and Social Work,0.129819997123
"China-Other Community, Social and Personal Services",0.138365279435
China-Private Households with Employed Persons,0.128336201631
"Cyprus-Agriculture, Hunting, Forestry and Fishing",0.125706669292
Cyprus-Mining and Quarrying,0.128144219127
"Cyprus-Food, Beverages and Tobacco",0.124307521249
Cyprus-Textiles and Textile Products,0.129032897232
"Cyprus-Leather, Leather and Footwear",0.12827509663
Cyprus-Wood and Products of Wood and Cork,0.127354432267
"Cyprus-Pulp, Paper, Paper , Printing and Publishing",0.128704718455
"Cyprus-Coke, Refined Petroleum and Nuclear Fuel",0.133155351441
Cyprus-Chemicals and Chemical Products,0.129765232826
Cyprus-Rubber and Plastics,0.128934221358
Cyprus-Other Non-Metallic Mineral,0.126098509813
Cyprus-Basic Metals and Fabricated Metal,0.131589144143
"Cyprus-Machinery, Nec",0.128995076602
Cyprus-Electrical and Optical Equipment,0.128905996077
Cyprus-Transport Equipment,0.128391768721
"Cyprus-Manufacturing, Nec; Recycling",0.128508578333
"Cyprus-Electricity, Gas and Water Supply",0.129935247509
Cyprus-Construction,0.117522261771
"Cyprus-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.123102887181
"Cyprus-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.121992025757
"Cyprus-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.118946092661
Cyprus-Hotels and Restaurants,0.104154193593
Cyprus-Inland Transport,0.12749276885
Cyprus-Water Transport,0.128424427493
