,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.127515015134
Australia-Mining and Quarrying,0.149764896743
"Australia-Food, Beverages and Tobacco",0.1073835433
Australia-Textiles and Textile Products,0.108186329857
"Australia-Leather, Leather and Footwear",0.105648016479
Australia-Wood and Products of Wood and Cork,0.104725260986
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.103134204833
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.109714155371
Australia-Chemicals and Chemical Products,0.110654646804
Australia-Rubber and Plastics,0.105952782442
Australia-Other Non-Metallic Mineral,0.104009696505
Australia-Basic Metals and Fabricated Metal,0.12514399056
"Australia-Machinery, Nec",0.109161567554
Australia-Electrical and Optical Equipment,0.107288734441
Australia-Transport Equipment,0.109805030231
"Australia-Manufacturing, Nec; Recycling",0.105601308389
"Australia-Electricity, Gas and Water Supply",0.0928704146954
Australia-Construction,0.0479018205016
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.100931590513
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.070414817172
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0819511526951
Australia-Hotels and Restaurants,0.10157313971
Australia-Inland Transport,0.0967362151944
Australia-Water Transport,0.104817140061
Australia-Air Transport,0.113508135936
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.100582856208
Australia-Post and Telecommunications,0.0972305954933
Australia-Financial Intermediation,0.0699041249739
Australia-Real Estate Activities,0.0363029131527
Australia-Renting of M&Eq and Other Business Activities,0.0788595022899
Australia-Public Admin and Defence; Compulsory Social Security,0.0809002169487
Australia-Education,0.0918082347333
Australia-Health and Social Work,0.0748085135836
"Australia-Other Community, Social and Personal Services",0.0867232701591
Australia-Private Households with Employed Persons,0.10467623777
"Austria-Agriculture, Hunting, Forestry and Fishing",0.10427158348
Austria-Mining and Quarrying,0.105832904813
"Austria-Food, Beverages and Tobacco",0.109736333151
Austria-Textiles and Textile Products,0.113878985359
"Austria-Leather, Leather and Footwear",0.108980142182
