,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.162001410129
Australia-Mining and Quarrying,0.185450241791
"Australia-Food, Beverages and Tobacco",0.139560666594
Australia-Textiles and Textile Products,0.136500514795
"Australia-Leather, Leather and Footwear",0.131981754418
Australia-Wood and Products of Wood and Cork,0.130726788685
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.13189194691
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.135379425521
Australia-Chemicals and Chemical Products,0.139785083976
Australia-Rubber and Plastics,0.132473572205
Australia-Other Non-Metallic Mineral,0.128790561657
Australia-Basic Metals and Fabricated Metal,0.15648237575
"Australia-Machinery, Nec",0.13701863006
Australia-Electrical and Optical Equipment,0.136973518691
Australia-Transport Equipment,0.141504438505
"Australia-Manufacturing, Nec; Recycling",0.131891094371
"Australia-Electricity, Gas and Water Supply",0.120362546097
Australia-Construction,0.0763110337387
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.127125437756
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.100721781682
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.105630197748
Australia-Hotels and Restaurants,0.133197515626
Australia-Inland Transport,0.122142247286
Australia-Water Transport,0.130886269537
Australia-Air Transport,0.139165566293
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.127597298329
Australia-Post and Telecommunications,0.123950024913
Australia-Financial Intermediation,0.0998303553097
Australia-Real Estate Activities,0.066401127087
Australia-Renting of M&Eq and Other Business Activities,0.107402553826
Australia-Public Admin and Defence; Compulsory Social Security,0.107211932773
Australia-Education,0.121528751396
Australia-Health and Social Work,0.103297790618
"Australia-Other Community, Social and Personal Services",0.114502622559
Australia-Private Households with Employed Persons,0.130499195301
"Austria-Agriculture, Hunting, Forestry and Fishing",0.13025567604
Austria-Mining and Quarrying,0.130696835794
"Austria-Food, Beverages and Tobacco",0.135044215763
Austria-Textiles and Textile Products,0.141597721258
"Austria-Leather, Leather and Footwear",0.13359425728
Austria-Wood and Products of Wood and Cork,0.135939220451
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.146244775838
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.137411965476
Austria-Chemicals and Chemical Products,0.152328276975
Austria-Rubber and Plastics,0.13951854535
Austria-Other Non-Metallic Mineral,0.134949077862
Austria-Basic Metals and Fabricated Metal,0.151163715134
"Austria-Machinery, Nec",0.162137448569
Austria-Electrical and Optical Equipment,0.164447962846
Austria-Transport Equipment,0.150967284713
"Austria-Manufacturing, Nec; Recycling",0.136445828116
"Austria-Electricity, Gas and Water Supply",0.130804929852
Austria-Construction,0.123329072676
"Austria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.127770356013
"Austria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.124120939452
"Austria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.118466570967
Austria-Hotels and Restaurants,0.113530764627
Austria-Inland Transport,0.131939198847
Austria-Water Transport,0.130601021749
Austria-Air Transport,0.130044201506
Austria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.134741443988
Austria-Post and Telecommunications,0.131699153361
Austria-Financial Intermediation,0.131893125753
Austria-Real Estate Activities,0.10048531452
Austria-Renting of M&Eq and Other Business Activities,0.151449313565
Austria-Public Admin and Defence; Compulsory Social Security,0.106816750991
Austria-Education,0.111154847521
Austria-Health and Social Work,0.113763255288
"Austria-Other Community, Social and Personal Services",0.122034701086
Austria-Private Households with Employed Persons,0.130389487319
"Belgium-Agriculture, Hunting, Forestry and Fishing",0.135325570437
Belgium-Mining and Quarrying,0.136442716045
"Belgium-Food, Beverages and Tobacco",0.168567475457
Belgium-Textiles and Textile Products,0.155854578302
"Belgium-Leather, Leather and Footwear",0.131724656294
Belgium-Wood and Products of Wood and Cork,0.134138988363
"Belgium-Pulp, Paper, Paper , Printing and Publishing",0.142481683748
"Belgium-Coke, Refined Petroleum and Nuclear Fuel",0.149172781291
Belgium-Chemicals and Chemical Products,0.202284170359
Belgium-Rubber and Plastics,0.144753943079
Belgium-Other Non-Metallic Mineral,0.149094220724
Belgium-Basic Metals and Fabricated Metal,0.163882311277
"Belgium-Machinery, Nec",0.157691852244
Belgium-Electrical and Optical Equipment,0.160702891384
Belgium-Transport Equipment,0.185625469688
"Belgium-Manufacturing, Nec; Recycling",0.1487219124
"Belgium-Electricity, Gas and Water Supply",0.130057459989
Belgium-Construction,0.127985700153
"Belgium-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.128062734808
"Belgium-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.15385357271
"Belgium-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.127397838438
Belgium-Hotels and Restaurants,0.134731226903
Belgium-Inland Transport,0.135877706327
Belgium-Water Transport,0.13461217779
Belgium-Air Transport,0.137945763118
Belgium-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.145181924534
Belgium-Post and Telecommunications,0.136200219063
Belgium-Financial Intermediation,0.130055059012
Belgium-Real Estate Activities,0.101324743391
Belgium-Renting of M&Eq and Other Business Activities,0.160696879095
Belgium-Public Admin and Defence; Compulsory Social Security,0.10746442283
Belgium-Education,0.110987040752
Belgium-Health and Social Work,0.112580617996
"Belgium-Other Community, Social and Personal Services",0.128602373623
Belgium-Private Households with Employed Persons,0.129865040077
"Bulgaria-Agriculture, Hunting, Forestry and Fishing",0.104129058545
Bulgaria-Mining and Quarrying,0.129865591394
"Bulgaria-Food, Beverages and Tobacco",0.120735494206
Bulgaria-Textiles and Textile Products,0.131819275434
"Bulgaria-Leather, Leather and Footwear",0.130741438667
Bulgaria-Wood and Products of Wood and Cork,0.131131347282
"Bulgaria-Pulp, Paper, Paper , Printing and Publishing",0.133962669018
"Bulgaria-Coke, Refined Petroleum and Nuclear Fuel",0.149541385404
Bulgaria-Chemicals and Chemical Products,0.136583374071
Bulgaria-Rubber and Plastics,0.131608094812
Bulgaria-Other Non-Metallic Mineral,0.133747633469
Bulgaria-Basic Metals and Fabricated Metal,0.134204573105
"Bulgaria-Machinery, Nec",0.133037999421
Bulgaria-Electrical and Optical Equipment,0.132178708294
Bulgaria-Transport Equipment,0.13088960198
"Bulgaria-Manufacturing, Nec; Recycling",0.130735302151
"Bulgaria-Electricity, Gas and Water Supply",0.139365534204
Bulgaria-Construction,0.132734217221
"Bulgaria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.129641354799
"Bulgaria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.125215357708
"Bulgaria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.129149565224
Bulgaria-Hotels and Restaurants,0.125441637683
Bulgaria-Inland Transport,0.129583103333
Bulgaria-Water Transport,0.130641618382
Bulgaria-Air Transport,0.130960842424
Bulgaria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.129745820312
Bulgaria-Post and Telecommunications,0.128496154611
Bulgaria-Financial Intermediation,0.129852775821
Bulgaria-Real Estate Activities,0.0961953695941
Bulgaria-Renting of M&Eq and Other Business Activities,0.126757969388
Bulgaria-Public Admin and Defence; Compulsory Social Security,0.120849825639
Bulgaria-Education,0.121020023729
Bulgaria-Health and Social Work,0.127121333756
"Bulgaria-Other Community, Social and Personal Services",0.128679234357
Bulgaria-Private Households with Employed Persons,0.1304991953
"Brazil-Agriculture, Hunting, Forestry and Fishing",0.116617292396
Brazil-Mining and Quarrying,0.11209594153
"Brazil-Food, Beverages and Tobacco",0.136472743227
Brazil-Textiles and Textile Products,0.125024171673
"Brazil-Leather, Leather and Footwear",0.134155442219
Brazil-Wood and Products of Wood and Cork,0.131313579417
"Brazil-Pulp, Paper, Paper , Printing and Publishing",0.137221087213
"Brazil-Coke, Refined Petroleum and Nuclear Fuel",0.16881956706
Brazil-Chemicals and Chemical Products,0.14526279118
Brazil-Rubber and Plastics,0.139877333811
Brazil-Other Non-Metallic Mineral,0.128518529867
Brazil-Basic Metals and Fabricated Metal,0.141029319705
"Brazil-Machinery, Nec",0.138957113029
Brazil-Electrical and Optical Equipment,0.169908207137
Brazil-Transport Equipment,0.169086710275
"Brazil-Manufacturing, Nec; Recycling",0.130384277145
"Brazil-Electricity, Gas and Water Supply",0.102771874473
Brazil-Construction,0.095800959291
"Brazil-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.113427224324
"Brazil-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0988735868857
"Brazil-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.077227687428
Brazil-Hotels and Restaurants,0.110486456038
Brazil-Inland Transport,0.111986356726
Brazil-Water Transport,0.128902642673
Brazil-Air Transport,0.128088379565
Brazil-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.122112603864
Brazil-Post and Telecommunications,0.11877346913
Brazil-Financial Intermediation,0.0529718165683
Brazil-Real Estate Activities,0.0196810286486
Brazil-Renting of M&Eq and Other Business Activities,0.0764952308018
Brazil-Public Admin and Defence; Compulsory Social Security,0.0203724969304
Brazil-Education,0.0755475055579
Brazil-Health and Social Work,0.110970175303
"Brazil-Other Community, Social and Personal Services",0.0952576101191
Brazil-Private Households with Employed Persons,0.1304991953
"Canada-Agriculture, Hunting, Forestry and Fishing",0.143728423944
Canada-Mining and Quarrying,0.172768095684
"Canada-Food, Beverages and Tobacco",0.137793751969
Canada-Textiles and Textile Products,0.135019132506
"Canada-Leather, Leather and Footwear",0.131023454633
Canada-Wood and Products of Wood and Cork,0.143608172152
"Canada-Pulp, Paper, Paper , Printing and Publishing",0.157148041647
"Canada-Coke, Refined Petroleum and Nuclear Fuel",0.136863796482
Canada-Chemicals and Chemical Products,0.145603465975
Canada-Rubber and Plastics,0.138046486123
Canada-Other Non-Metallic Mineral,0.131108620339
Canada-Basic Metals and Fabricated Metal,0.150647143236
"Canada-Machinery, Nec",0.143737163181
Canada-Electrical and Optical Equipment,0.154655773464
Canada-Transport Equipment,0.17238294475
"Canada-Manufacturing, Nec; Recycling",0.137460489254
"Canada-Electricity, Gas and Water Supply",0.128753263266
Canada-Construction,0.124082127363
"Canada-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.129345406315
