,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",-0.000829711773752
Australia-Mining and Quarrying,0.0535316883285
"Australia-Food, Beverages and Tobacco",-0.00697637988007
Australia-Textiles and Textile Products,-0.00201939540803
"Australia-Leather, Leather and Footwear",-0.00265845859997
Australia-Wood and Products of Wood and Cork,-0.00361779899741
"Australia-Pulp, Paper, Paper , Printing and Publishing",-0.00604607842331
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.00826692845709
Australia-Chemicals and Chemical Products,0.00261566267261
Australia-Rubber and Plastics,-0.00160743273485
Australia-Other Non-Metallic Mineral,-0.00257920444024
Australia-Basic Metals and Fabricated Metal,0.029666488576
"Australia-Machinery, Nec",0.00434290268164
Australia-Electrical and Optical Equipment,0.000315452229633
Australia-Transport Equipment,0.00174749685921
"Australia-Manufacturing, Nec; Recycling",-0.000988048409045
"Australia-Electricity, Gas and Water Supply",-0.0120570744102
Australia-Construction,-0.062190573853
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",-0.00674134890538
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",-0.0361502277044
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",-0.0239009570614
Australia-Hotels and Restaurants,-0.00947950933894
Australia-Inland Transport,-0.00961431829803
Australia-Water Transport,-0.00286015333215
Australia-Air Transport,0.00430492371754
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,-0.00759755380332
Australia-Post and Telecommunications,-0.00889131556775
Australia-Financial Intermediation,-0.0484445663176
Australia-Real Estate Activities,-0.0769778831451
Australia-Renting of M&Eq and Other Business Activities,-0.0337439314355
Australia-Public Admin and Defence; Compulsory Social Security,-0.025922473825
Australia-Education,-0.0182187023405
Australia-Health and Social Work,-0.0363669552581
"Australia-Other Community, Social and Personal Services",-0.0196837801869
Australia-Private Households with Employed Persons,-0.00297219673189
"Austria-Agriculture, Hunting, Forestry and Fishing",-0.00175007930053
Austria-Mining and Quarrying,-0.00250629005434
