,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.134168791673
Australia-Mining and Quarrying,0.164318685525
"Australia-Food, Beverages and Tobacco",0.116106933556
Australia-Textiles and Textile Products,0.11820865783
"Australia-Leather, Leather and Footwear",0.115496808322
Australia-Wood and Products of Wood and Cork,0.114277248993
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.113828715175
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.122684652976
Australia-Chemicals and Chemical Products,0.121542620113
Australia-Rubber and Plastics,0.116171421226
Australia-Other Non-Metallic Mineral,0.114032800107
Australia-Basic Metals and Fabricated Metal,0.13565804195
"Australia-Machinery, Nec",0.119818264367
Australia-Electrical and Optical Equipment,0.118559403524
Australia-Transport Equipment,0.118971720356
"Australia-Manufacturing, Nec; Recycling",0.115083523394
"Australia-Electricity, Gas and Water Supply",0.103776767867
Australia-Construction,0.0631862883285
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.111475297881
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0807390252555
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0904232190495
Australia-Hotels and Restaurants,0.111363359173
Australia-Inland Transport,0.105525919276
Australia-Water Transport,0.114793673042
Australia-Air Transport,0.123330846157
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.111972265333
Australia-Post and Telecommunications,0.107085515837
Australia-Financial Intermediation,0.0781291114188
Australia-Real Estate Activities,0.0451607025489
Australia-Renting of M&Eq and Other Business Activities,0.0870098053222
Australia-Public Admin and Defence; Compulsory Social Security,0.0878339806595
Australia-Education,0.102033921908
Australia-Health and Social Work,0.0843192558078
"Australia-Other Community, Social and Personal Services",0.0961789323458
Australia-Private Households with Employed Persons,0.114572901427
"Austria-Agriculture, Hunting, Forestry and Fishing",0.114424996915
Austria-Mining and Quarrying,0.115515650849
"Austria-Food, Beverages and Tobacco",0.118411365315
Austria-Textiles and Textile Products,0.123424851802
"Austria-Leather, Leather and Footwear",0.118874134835
Austria-Wood and Products of Wood and Cork,0.119533212921
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.128819041378
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.123754153176
Austria-Chemicals and Chemical Products,0.132242974105
Austria-Rubber and Plastics,0.122423817506
Austria-Other Non-Metallic Mineral,0.11821424396
Austria-Basic Metals and Fabricated Metal,0.132176743914
"Austria-Machinery, Nec",0.141962823078
Austria-Electrical and Optical Equipment,0.142782481827
Austria-Transport Equipment,0.133696108342
"Austria-Manufacturing, Nec; Recycling",0.121007109991
"Austria-Electricity, Gas and Water Supply",0.120085536496
Austria-Construction,0.110447397221
"Austria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.112510062659
"Austria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.108678417704
"Austria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.103861950622
Austria-Hotels and Restaurants,0.0984426756466
Austria-Inland Transport,0.118151523673
Austria-Water Transport,0.114679580648
Austria-Air Transport,0.114294251225
Austria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.116999683609
Austria-Post and Telecommunications,0.116222955097
Austria-Financial Intermediation,0.122111881404
Austria-Real Estate Activities,0.0869197290765
Austria-Renting of M&Eq and Other Business Activities,0.126252846001
Austria-Public Admin and Defence; Compulsory Social Security,0.092872768347
Austria-Education,0.0971161999529
Austria-Health and Social Work,0.0981441171505
"Austria-Other Community, Social and Personal Services",0.106405753306
Austria-Private Households with Employed Persons,0.114474571008
"Belgium-Agriculture, Hunting, Forestry and Fishing",0.118288651878
Belgium-Mining and Quarrying,0.118510276558
"Belgium-Food, Beverages and Tobacco",0.149291352584
Belgium-Textiles and Textile Products,0.135431096225
"Belgium-Leather, Leather and Footwear",0.115326108374
Belgium-Wood and Products of Wood and Cork,0.118241382967
"Belgium-Pulp, Paper, Paper , Printing and Publishing",0.125673717376
"Belgium-Coke, Refined Petroleum and Nuclear Fuel",0.135369780914
Belgium-Chemicals and Chemical Products,0.178383114611
Belgium-Rubber and Plastics,0.124967074335
Belgium-Other Non-Metallic Mineral,0.126440141685
Belgium-Basic Metals and Fabricated Metal,0.140984037811
"Belgium-Machinery, Nec",0.136658869872
Belgium-Electrical and Optical Equipment,0.141582927969
Belgium-Transport Equipment,0.163516581916
"Belgium-Manufacturing, Nec; Recycling",0.130906575706
"Belgium-Electricity, Gas and Water Supply",0.11696586433
Belgium-Construction,0.111167849117
"Belgium-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.113358447576
"Belgium-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.130982924336
"Belgium-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.113499486113
Belgium-Hotels and Restaurants,0.116300106568
Belgium-Inland Transport,0.11946445541
Belgium-Water Transport,0.118410776307
Belgium-Air Transport,0.119315165434
Belgium-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.127293559691
Belgium-Post and Telecommunications,0.120818568096
Belgium-Financial Intermediation,0.115089061928
Belgium-Real Estate Activities,0.0883291467532
Belgium-Renting of M&Eq and Other Business Activities,0.151650605837
Belgium-Public Admin and Defence; Compulsory Social Security,0.0967805694778
Belgium-Education,0.097008465737
Belgium-Health and Social Work,0.0977606139802
"Belgium-Other Community, Social and Personal Services",0.113909882561
Belgium-Private Households with Employed Persons,0.113956889994
"Bulgaria-Agriculture, Hunting, Forestry and Fishing",0.088301081879
Bulgaria-Mining and Quarrying,0.112987759263
"Bulgaria-Food, Beverages and Tobacco",0.102452244017
Bulgaria-Textiles and Textile Products,0.115638487634
"Bulgaria-Leather, Leather and Footwear",0.114714762513
Bulgaria-Wood and Products of Wood and Cork,0.115091209473
"Bulgaria-Pulp, Paper, Paper , Printing and Publishing",0.117250320281
"Bulgaria-Coke, Refined Petroleum and Nuclear Fuel",0.140212470121
Bulgaria-Chemicals and Chemical Products,0.120008943314
Bulgaria-Rubber and Plastics,0.116021983717
Bulgaria-Other Non-Metallic Mineral,0.115798686949
Bulgaria-Basic Metals and Fabricated Metal,0.116603622449
"Bulgaria-Machinery, Nec",0.11576104054
Bulgaria-Electrical and Optical Equipment,0.11652812654
Bulgaria-Transport Equipment,0.114942083032
"Bulgaria-Manufacturing, Nec; Recycling",0.114887586687
"Bulgaria-Electricity, Gas and Water Supply",0.117988885698
Bulgaria-Construction,0.114690540132
"Bulgaria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.113856872009
"Bulgaria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.10710200388
"Bulgaria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.112776073745
Bulgaria-Hotels and Restaurants,0.109641629324
Bulgaria-Inland Transport,0.112648487071
Bulgaria-Water Transport,0.114664097633
Bulgaria-Air Transport,0.114816715733
Bulgaria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.113783856412
Bulgaria-Post and Telecommunications,0.107675929394
Bulgaria-Financial Intermediation,0.112005623466
Bulgaria-Real Estate Activities,0.0795207467011
Bulgaria-Renting of M&Eq and Other Business Activities,0.111056982191
Bulgaria-Public Admin and Defence; Compulsory Social Security,0.0995774765923
Bulgaria-Education,0.104185936301
Bulgaria-Health and Social Work,0.112524360465
"Bulgaria-Other Community, Social and Personal Services",0.111554392357
Bulgaria-Private Households with Employed Persons,0.114572901427
"Brazil-Agriculture, Hunting, Forestry and Fishing",0.109994349662
Brazil-Mining and Quarrying,0.0912355614134
"Brazil-Food, Beverages and Tobacco",0.115574438872
Brazil-Textiles and Textile Products,0.108766278551
"Brazil-Leather, Leather and Footwear",0.118004883908
Brazil-Wood and Products of Wood and Cork,0.115527261979
"Brazil-Pulp, Paper, Paper , Printing and Publishing",0.116931473682
"Brazil-Coke, Refined Petroleum and Nuclear Fuel",0.15758548831
Brazil-Chemicals and Chemical Products,0.132463097786
Brazil-Rubber and Plastics,0.120859571067
Brazil-Other Non-Metallic Mineral,0.113850115162
Brazil-Basic Metals and Fabricated Metal,0.118828492024
"Brazil-Machinery, Nec",0.122857656743
Brazil-Electrical and Optical Equipment,0.147459264565
Brazil-Transport Equipment,0.155603746194
"Brazil-Manufacturing, Nec; Recycling",0.113269763614
"Brazil-Electricity, Gas and Water Supply",0.0960359289548
Brazil-Construction,0.0879137530066
"Brazil-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.101001663942
"Brazil-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0866744829103
"Brazil-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0735222030303
Brazil-Hotels and Restaurants,0.0997853701166
Brazil-Inland Transport,0.0976065936327
Brazil-Water Transport,0.113110747801
Brazil-Air Transport,0.112363887963
Brazil-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.10688434328
Brazil-Post and Telecommunications,0.103800768007
Brazil-Financial Intermediation,0.0589367841489
Brazil-Real Estate Activities,0.036944766663
Brazil-Renting of M&Eq and Other Business Activities,0.0788800091188
Brazil-Public Admin and Defence; Compulsory Social Security,0.0228312705496
Brazil-Education,0.0742807647303
Brazil-Health and Social Work,0.0972766308891
"Brazil-Other Community, Social and Personal Services",0.0905101930794
Brazil-Private Households with Employed Persons,0.114572901427
"Canada-Agriculture, Hunting, Forestry and Fishing",0.128340112725
Canada-Mining and Quarrying,0.156578129751
"Canada-Food, Beverages and Tobacco",0.122637441058
Canada-Textiles and Textile Products,0.119065859325
"Canada-Leather, Leather and Footwear",0.115074334467
Canada-Wood and Products of Wood and Cork,0.124539408651
"Canada-Pulp, Paper, Paper , Printing and Publishing",0.136061344482
"Canada-Coke, Refined Petroleum and Nuclear Fuel",0.128271828363
Canada-Chemicals and Chemical Products,0.127160829084
Canada-Rubber and Plastics,0.121720821946
Canada-Other Non-Metallic Mineral,0.11512878111
Canada-Basic Metals and Fabricated Metal,0.131278117092
"Canada-Machinery, Nec",0.127683828966
Canada-Electrical and Optical Equipment,0.139275135595
Canada-Transport Equipment,0.154381596673
"Canada-Manufacturing, Nec; Recycling",0.120874622239
"Canada-Electricity, Gas and Water Supply",0.115802458297
Canada-Construction,0.104249741328
"Canada-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.11343057355
"Canada-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.114814096729
"Canada-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0991157482242
Canada-Hotels and Restaurants,0.139805443247
Canada-Inland Transport,0.118826460336
Canada-Water Transport,0.115615756992
Canada-Air Transport,0.118448985597
Canada-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.11587513688
Canada-Post and Telecommunications,0.107307096934
Canada-Financial Intermediation,0.0908651747638
Canada-Real Estate Activities,0.0791935205293
Canada-Renting of M&Eq and Other Business Activities,0.104063846791
Canada-Public Admin and Defence; Compulsory Social Security,0.0719132450597
Canada-Education,0.0948947422938
Canada-Health and Social Work,0.0954910162991
"Canada-Other Community, Social and Personal Services",0.110864750843
Canada-Private Households with Employed Persons,0.113885594222
"China-Agriculture, Hunting, Forestry and Fishing",0.0556682959761
China-Mining and Quarrying,0.0981447750807
"China-Food, Beverages and Tobacco",0.0917414750571
China-Textiles and Textile Products,0.255493349493
"China-Leather, Leather and Footwear",0.14347995691
China-Wood and Products of Wood and Cork,0.116087688292
"China-Pulp, Paper, Paper , Printing and Publishing",0.118122633296
"China-Coke, Refined Petroleum and Nuclear Fuel",0.151179034563
China-Chemicals and Chemical Products,0.157262480052
China-Rubber and Plastics,0.139213981537
China-Other Non-Metallic Mineral,0.103047299638
China-Basic Metals and Fabricated Metal,0.139046974663
"China-Machinery, Nec",0.138020961544
China-Electrical and Optical Equipment,0.338926376056
China-Transport Equipment,0.121464559027
"China-Manufacturing, Nec; Recycling",0.147909802766
"China-Electricity, Gas and Water Supply",0.101584131956
China-Construction,0.0581909153382
"China-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.114572901427
"China-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0933570551702
"China-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.121244366294
China-Hotels and Restaurants,0.110927927085
China-Inland Transport,0.103944219367
China-Water Transport,0.114404447979
China-Air Transport,0.124194686266
China-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.113268674313
China-Post and Telecommunications,0.1171885879
China-Financial Intermediation,0.0951729421639
China-Real Estate Activities,0.0865341642774
China-Renting of M&Eq and Other Business Activities,0.126096372355
China-Public Admin and Defence; Compulsory Social Security,0.0813416970097
China-Education,0.0937680576727
China-Health and Social Work,0.112391750314
"China-Other Community, Social and Personal Services",0.132271508739
China-Private Households with Employed Persons,0.114572901427
"Cyprus-Agriculture, Hunting, Forestry and Fishing",0.112514029091
Cyprus-Mining and Quarrying,0.114862107205
"Cyprus-Food, Beverages and Tobacco",0.109591116783
Cyprus-Textiles and Textile Products,0.114963087265
"Cyprus-Leather, Leather and Footwear",0.11447566193
Cyprus-Wood and Products of Wood and Cork,0.114045505149
"Cyprus-Pulp, Paper, Paper , Printing and Publishing",0.114538070388
"Cyprus-Coke, Refined Petroleum and Nuclear Fuel",0.120230405882
Cyprus-Chemicals and Chemical Products,0.115484610997
Cyprus-Rubber and Plastics,0.114975286638
Cyprus-Other Non-Metallic Mineral,0.11294048336
Cyprus-Basic Metals and Fabricated Metal,0.116131659214
"Cyprus-Machinery, Nec",0.115068310142
Cyprus-Electrical and Optical Equipment,0.114985431853
Cyprus-Transport Equipment,0.11463727178
"Cyprus-Manufacturing, Nec; Recycling",0.114388090918
"Cyprus-Electricity, Gas and Water Supply",0.120628650929
Cyprus-Construction,0.102853113205
"Cyprus-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.110267378797
"Cyprus-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.108856563221
"Cyprus-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.105639213635
Cyprus-Hotels and Restaurants,0.0876861082925
Cyprus-Inland Transport,0.114047185741
Cyprus-Water Transport,0.114696803081
Cyprus-Air Transport,0.117869441608
Cyprus-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.114368469256
Cyprus-Post and Telecommunications,0.10899489013
Cyprus-Financial Intermediation,0.0985315886589
Cyprus-Real Estate Activities,0.0864575928219
Cyprus-Renting of M&Eq and Other Business Activities,0.106417970603
Cyprus-Public Admin and Defence; Compulsory Social Security,0.10309550616
Cyprus-Education,0.101944095522
Cyprus-Health and Social Work,0.10853893314
"Cyprus-Other Community, Social and Personal Services",0.104310389861
Cyprus-Private Households with Employed Persons,0.113173936302
"Czech Republic-Agriculture, Hunting, Forestry and Fishing",0.113222498764
Czech Republic-Mining and Quarrying,0.118171245252
"Czech Republic-Food, Beverages and Tobacco",0.110343245168
