,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.0947174210142
Australia-Mining and Quarrying,0.129790326144
"Australia-Food, Beverages and Tobacco",0.085101661663
Australia-Textiles and Textile Products,0.0849133413375
"Australia-Leather, Leather and Footwear",0.0827629118751
Australia-Wood and Products of Wood and Cork,0.0818450614753
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.0796907493377
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.0872895641443
Australia-Chemicals and Chemical Products,0.0878095632302
Australia-Rubber and Plastics,0.0832745899528
Australia-Other Non-Metallic Mineral,0.0814441004501
Australia-Basic Metals and Fabricated Metal,0.111467435554
"Australia-Machinery, Nec",0.0878165334441
Australia-Electrical and Optical Equipment,0.0848768449523
Australia-Transport Equipment,0.0861717147024
"Australia-Manufacturing, Nec; Recycling",0.0831814162691
"Australia-Electricity, Gas and Water Supply",0.0698643010357
Australia-Construction,0.0193518580713
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.0781441575198
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0483210395611
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0583111193756
Australia-Hotels and Restaurants,0.0767685253766
Australia-Inland Transport,0.0720246747819
Australia-Water Transport,0.0819695033029
Australia-Air Transport,0.0911303985653
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.0768830195932
Australia-Post and Telecommunications,0.0747230499502
Australia-Financial Intermediation,0.0449444102222
Australia-Real Estate Activities,0.00984375279472
Australia-Renting of M&Eq and Other Business Activities,0.0562225006012
Australia-Public Admin and Defence; Compulsory Social Security,0.054037375521
Australia-Education,0.0671270401798
Australia-Health and Social Work,0.0498425104463
"Australia-Other Community, Social and Personal Services",0.0627362287229
Australia-Private Households with Employed Persons,0.082000931083
"Austria-Agriculture, Hunting, Forestry and Fishing",0.0822697971802
Austria-Mining and Quarrying,0.0828626687344
"Austria-Food, Beverages and Tobacco",0.0882749541405
Austria-Textiles and Textile Products,0.0907266088886
"Austria-Leather, Leather and Footwear",0.0859799551447
Austria-Wood and Products of Wood and Cork,0.0886320063556
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.097211501769
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.0910314086649
Austria-Chemicals and Chemical Products,0.100677150939
Austria-Rubber and Plastics,0.0903320577089
Austria-Other Non-Metallic Mineral,0.0858818382963
Austria-Basic Metals and Fabricated Metal,0.0994200361738
"Austria-Machinery, Nec",0.113481128889
Austria-Electrical and Optical Equipment,0.108427695063
Austria-Transport Equipment,0.105446748679
"Austria-Manufacturing, Nec; Recycling",0.0897509600716
"Austria-Electricity, Gas and Water Supply",0.091094891633
Austria-Construction,0.0788762772849
"Austria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.0799312968973
"Austria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0748523778562
"Austria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0711606293611
Austria-Hotels and Restaurants,0.0648658599687
Austria-Inland Transport,0.0858021842513
Austria-Water Transport,0.0820838677511
Austria-Air Transport,0.082277517004
