,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.0188147133896
Australia-Mining and Quarrying,0.0712702914661
"Australia-Food, Beverages and Tobacco",0.01774897058
Australia-Textiles and Textile Products,0.0178499548185
"Australia-Leather, Leather and Footwear",0.0171864766671
Australia-Wood and Products of Wood and Cork,0.016301862625
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.0139902907859
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.0252427256521
Australia-Chemicals and Chemical Products,0.0231483780296
Australia-Rubber and Plastics,0.0181090839181
Australia-Other Non-Metallic Mineral,0.016663784318
Australia-Basic Metals and Fabricated Metal,0.0530993985982
"Australia-Machinery, Nec",0.0239247455441
Australia-Electrical and Optical Equipment,0.0200462167358
Australia-Transport Equipment,0.0210363916104
"Australia-Manufacturing, Nec; Recycling",0.0185148454277
"Australia-Electricity, Gas and Water Supply",0.00660127310414
Australia-Construction,-0.0425897392584
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.0137578193418
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",-0.0141010952455
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",-0.00289713042415
Australia-Hotels and Restaurants,0.0122467965355
Australia-Inland Transport,0.00989908819413
Australia-Water Transport,0.0169375766071
Australia-Air Transport,0.0246797986327
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.0125184008929
Australia-Post and Telecommunications,0.0118062453598
Australia-Financial Intermediation,-0.0235736001705
Australia-Real Estate Activities,-0.0540612451181
Australia-Renting of M&Eq and Other Business Activities,-0.0117261506369
Australia-Public Admin and Defence; Compulsory Social Security,-0.00635884324772
Australia-Education,0.00274321840503
Australia-Health and Social Work,-0.0147554956864
"Australia-Other Community, Social and Personal Services",0.00124953170978
Australia-Private Households with Employed Persons,0.0168316448347
"Austria-Agriculture, Hunting, Forestry and Fishing",0.0179420771262
Austria-Mining and Quarrying,0.0190901116409
"Austria-Food, Beverages and Tobacco",0.0253781681473
Austria-Textiles and Textile Products,0.0236141946634
"Austria-Leather, Leather and Footwear",0.0189646114445
Austria-Wood and Products of Wood and Cork,0.0241971660397
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.0267609412908
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.0325926877524
Austria-Chemicals and Chemical Products,0.0345997176764
Austria-Rubber and Plastics,0.0230114291354
Austria-Other Non-Metallic Mineral,0.0206943350581
Austria-Basic Metals and Fabricated Metal,0.0385978007018
"Austria-Machinery, Nec",0.0498166073567
Austria-Electrical and Optical Equipment,0.0433673758352
Austria-Transport Equipment,0.0401841658579
"Austria-Manufacturing, Nec; Recycling",0.023183065553
"Austria-Electricity, Gas and Water Supply",0.0207633320337
Austria-Construction,0.011420865073
"Austria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.01513919603
"Austria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0100784642407
"Austria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0062327031215
Austria-Hotels and Restaurants,0.00989884113066
Austria-Inland Transport,0.0218625821841
Austria-Water Transport,0.0171122497289
Austria-Air Transport,0.0197893134787
Austria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.0186253106201
Austria-Post and Telecommunications,0.0188705340282
Austria-Financial Intermediation,0.0179718062229
Austria-Real Estate Activities,-0.0141248215847
Austria-Renting of M&Eq and Other Business Activities,0.0224671751771
Austria-Public Admin and Defence; Compulsory Social Security,-0.00087300938782
Austria-Education,0.000149755539553
Austria-Health and Social Work,0.000153701417974
"Austria-Other Community, Social and Personal Services",0.00759351733898
Austria-Private Households with Employed Persons,0.0167507706451
"Belgium-Agriculture, Hunting, Forestry and Fishing",0.0218711144796
Belgium-Mining and Quarrying,0.0197086708535
"Belgium-Food, Beverages and Tobacco",0.0485126663169
Belgium-Textiles and Textile Products,0.0292206715585
"Belgium-Leather, Leather and Footwear",0.0174096775445
Belgium-Wood and Products of Wood and Cork,0.0212999829444
"Belgium-Pulp, Paper, Paper , Printing and Publishing",0.0239667215671
"Belgium-Coke, Refined Petroleum and Nuclear Fuel",0.049245412896
Belgium-Chemicals and Chemical Products,0.070377244562
Belgium-Rubber and Plastics,0.0268556251312
Belgium-Other Non-Metallic Mineral,0.0278878846346
Belgium-Basic Metals and Fabricated Metal,0.049399800508
"Belgium-Machinery, Nec",0.0374483092712
Belgium-Electrical and Optical Equipment,0.0322271357454
Belgium-Transport Equipment,0.0586398697754
"Belgium-Manufacturing, Nec; Recycling",0.0257338412995
"Belgium-Electricity, Gas and Water Supply",0.0242775608408
Belgium-Construction,0.0135559809381
"Belgium-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.016141096899
"Belgium-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0197884094968
"Belgium-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0110979282484
Belgium-Hotels and Restaurants,0.0184737911197
Belgium-Inland Transport,0.0193888317719
