,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.0737077173477
Australia-Mining and Quarrying,0.112301129732
"Australia-Food, Beverages and Tobacco",0.0670232214115
Australia-Textiles and Textile Products,0.0672300249036
"Australia-Leather, Leather and Footwear",0.0655006942483
Australia-Wood and Products of Wood and Cork,0.0644536098061
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.0613803791076
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.0714166034675
Australia-Chemicals and Chemical Products,0.0702533068719
Australia-Rubber and Plastics,0.0660892420818
Australia-Other Non-Metallic Mineral,0.0645199230898
Australia-Basic Metals and Fabricated Metal,0.0958617618154
"Australia-Machinery, Nec",0.0718469579413
Australia-Electrical and Optical Equipment,0.0680186251993
Australia-Transport Equipment,0.069068050075
"Australia-Manufacturing, Nec; Recycling",0.0663052497996
"Australia-Electricity, Gas and Water Supply",0.0536797941662
Australia-Construction,0.00271656591514
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.0610184179188
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0325158389874
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.042558601341
Australia-Hotels and Restaurants,0.0555651262685
Australia-Inland Transport,0.0555546797332
Australia-Water Transport,0.064873461816
Australia-Air Transport,0.0747325609415
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.0598576478413
Australia-Post and Telecommunications,0.0584679190488
Australia-Financial Intermediation,0.0289409859438
Australia-Real Estate Activities,-0.00448079405818
Australia-Renting of M&Eq and Other Business Activities,0.0381129220898
Australia-Public Admin and Defence; Compulsory Social Security,0.0394171883925
Australia-Education,0.0505133803014
Australia-Health and Social Work,0.0334387365936
"Australia-Other Community, Social and Personal Services",0.0475785976198
Australia-Private Households with Employed Persons,0.0648515248772
"Austria-Agriculture, Hunting, Forestry and Fishing",0.0648884033967
Austria-Mining and Quarrying,0.0653335074333
"Austria-Food, Beverages and Tobacco",0.0725501603381
Austria-Textiles and Textile Products,0.0733317568946
"Austria-Leather, Leather and Footwear",0.068129127013
Austria-Wood and Products of Wood and Cork,0.0714565462396
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.0781660986128
