,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.142120028015
Australia-Mining and Quarrying,0.157516687308
"Australia-Food, Beverages and Tobacco",0.129646665504
Australia-Textiles and Textile Products,0.125687446472
"Australia-Leather, Leather and Footwear",0.119882268237
Australia-Wood and Products of Wood and Cork,0.116841635927
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.120955620305
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.122881176074
Australia-Chemicals and Chemical Products,0.127468294975
Australia-Rubber and Plastics,0.120902517004
Australia-Other Non-Metallic Mineral,0.11225964577
Australia-Basic Metals and Fabricated Metal,0.131179781026
"Australia-Machinery, Nec",0.124353609589
Australia-Electrical and Optical Equipment,0.128007566719
Australia-Transport Equipment,0.122931263591
"Australia-Manufacturing, Nec; Recycling",0.118767295746
"Australia-Electricity, Gas and Water Supply",0.109794051307
Australia-Construction,0.0811353152535
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.115827838748
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0829140492362
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0860811170365
Australia-Hotels and Restaurants,0.117039979011
Australia-Inland Transport,0.106086552207
Australia-Water Transport,0.119346557733
Australia-Air Transport,0.123921528049
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.113502599622
Australia-Post and Telecommunications,0.114328681718
Australia-Financial Intermediation,0.0900152107057
Australia-Real Estate Activities,0.0508035181679
Australia-Renting of M&Eq and Other Business Activities,0.0954709507223
Australia-Public Admin and Defence; Compulsory Social Security,0.0929879416151
Australia-Education,0.10913731109
Australia-Health and Social Work,0.089639811291
"Australia-Other Community, Social and Personal Services",0.104468005932
Australia-Private Households with Employed Persons,0.118659997351
"Austria-Agriculture, Hunting, Forestry and Fishing",0.116250949941
Austria-Mining and Quarrying,0.118844048853
"Austria-Food, Beverages and Tobacco",0.120308254346
Austria-Textiles and Textile Products,0.130645063888
"Austria-Leather, Leather and Footwear",0.121934524316
Austria-Wood and Products of Wood and Cork,0.122327061208
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.138201876789
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.127595855996
Austria-Chemicals and Chemical Products,0.143049369061
Austria-Rubber and Plastics,0.128602471504
Austria-Other Non-Metallic Mineral,0.124522877321
Austria-Basic Metals and Fabricated Metal,0.143697704897
"Austria-Machinery, Nec",0.156146780512
Austria-Electrical and Optical Equipment,0.154810344191
Austria-Transport Equipment,0.136305274556
"Austria-Manufacturing, Nec; Recycling",0.124576904689
"Austria-Electricity, Gas and Water Supply",0.122089026931
Austria-Construction,0.107227918855
"Austria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.115972946189
"Austria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.110831775648
"Austria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.104465467066
Austria-Hotels and Restaurants,0.100985454035
Austria-Inland Transport,0.121202872258
Austria-Water Transport,0.118833391837
Austria-Air Transport,0.118592494324
Austria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.127098800134
Austria-Post and Telecommunications,0.118352180553
Austria-Financial Intermediation,0.11816829134
Austria-Real Estate Activities,0.0895432258456
Austria-Renting of M&Eq and Other Business Activities,0.14632910986
Austria-Public Admin and Defence; Compulsory Social Security,0.0940516530803
Austria-Education,0.0974468023539
Austria-Health and Social Work,0.099078899021
"Austria-Other Community, Social and Personal Services",0.109620603372
Austria-Private Households with Employed Persons,0.118536253828
"Belgium-Agriculture, Hunting, Forestry and Fishing",0.124473879965
Belgium-Mining and Quarrying,0.127326776619
"Belgium-Food, Beverages and Tobacco",0.178491376716
Belgium-Textiles and Textile Products,0.153158839929
"Belgium-Leather, Leather and Footwear",0.120738209305
Belgium-Wood and Products of Wood and Cork,0.123028154194
"Belgium-Pulp, Paper, Paper , Printing and Publishing",0.135065043331
"Belgium-Coke, Refined Petroleum and Nuclear Fuel",0.141752215744
Belgium-Chemicals and Chemical Products,0.199630103691
