,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.00526707179303
Australia-Mining and Quarrying,0.0713204632805
"Australia-Food, Beverages and Tobacco",0.000441060647689
Australia-Textiles and Textile Products,0.00138448028662
"Australia-Leather, Leather and Footwear",0.000853223905979
Australia-Wood and Products of Wood and Cork,-0.000185089411262
"Australia-Pulp, Paper, Paper , Printing and Publishing",-0.00203018408918
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.00906670604159
Australia-Chemicals and Chemical Products,0.00533067845593
Australia-Rubber and Plastics,0.00176407101744
Australia-Other Non-Metallic Mineral,0.00046349689554
Australia-Basic Metals and Fabricated Metal,0.0336489274241
"Australia-Machinery, Nec",0.00719310295242
Australia-Electrical and Optical Equipment,0.00359124305929
Australia-Transport Equipment,0.00797065939989
"Australia-Manufacturing, Nec; Recycling",0.00265241581653
"Australia-Electricity, Gas and Water Supply",-0.0089031777852
Australia-Construction,-0.0545350295271
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",-0.00284678421826
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",-0.0311127771848
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",-0.0176202044683
Australia-Hotels and Restaurants,-0.0046174145455
Australia-Inland Transport,-0.00280847297776
Australia-Water Transport,0.00181486694956
Australia-Air Transport,0.013756010403
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,-0.00238869020344
Australia-Post and Telecommunications,-0.00417087562968
Australia-Financial Intermediation,-0.0426313836802
Australia-Real Estate Activities,-0.0690959218826
Australia-Renting of M&Eq and Other Business Activities,-0.0281416486941
Australia-Public Admin and Defence; Compulsory Social Security,-0.022042523593
Australia-Education,-0.0133228276313
Australia-Health and Social Work,-0.0340813081966
"Australia-Other Community, Social and Personal Services",-0.0136057407347
Australia-Private Households with Employed Persons,0.000653132842752
"Austria-Agriculture, Hunting, Forestry and Fishing",0.00234904038141
Austria-Mining and Quarrying,0.00158795715511
"Austria-Food, Beverages and Tobacco",0.0121765637817
Austria-Textiles and Textile Products,0.00618616089955
"Austria-Leather, Leather and Footwear",0.0022045703171
Austria-Wood and Products of Wood and Cork,0.00655979326783
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.0101711056024
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.0160050250301
Austria-Chemicals and Chemical Products,0.0194354295931
Austria-Rubber and Plastics,0.0054904065146
Austria-Other Non-Metallic Mineral,0.00365736543329
Austria-Basic Metals and Fabricated Metal,0.023381555333
"Austria-Machinery, Nec",0.027229917873
Austria-Electrical and Optical Equipment,0.0197201787438
Austria-Transport Equipment,0.0169915532423
"Austria-Manufacturing, Nec; Recycling",0.00709199863511
"Austria-Electricity, Gas and Water Supply",0.00656232958695
Austria-Construction,-0.00568955404032
"Austria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",-0.000916196891427
"Austria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",-0.00623551467103
"Austria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",-0.00979512742548
Austria-Hotels and Restaurants,-0.00470742143318
Austria-Inland Transport,0.00279362985937
Austria-Water Transport,0.000724349696037
Austria-Air Transport,0.00348338336244
Austria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.00260144196986
Austria-Post and Telecommunications,0.00374050055503
Austria-Financial Intermediation,-0.00229186132352
Austria-Real Estate Activities,-0.0293021124003
Austria-Renting of M&Eq and Other Business Activities,0.00672497762253
Austria-Public Admin and Defence; Compulsory Social Security,-0.0181456692481
Austria-Education,-0.0158034243594
Austria-Health and Social Work,-0.0158034083836
"Austria-Other Community, Social and Personal Services",-0.00816897227962
Austria-Private Households with Employed Persons,0.000567099398199
"Belgium-Agriculture, Hunting, Forestry and Fishing",0.00760370394918
Belgium-Mining and Quarrying,0.00274916396563
"Belgium-Food, Beverages and Tobacco",0.0400404654844
Belgium-Textiles and Textile Products,0.0115999759183
"Belgium-Leather, Leather and Footwear",0.00132743862568
Belgium-Wood and Products of Wood and Cork,0.00419754595329
"Belgium-Pulp, Paper, Paper , Printing and Publishing",0.00744202079383
"Belgium-Coke, Refined Petroleum and Nuclear Fuel",0.0383910220249
Belgium-Chemicals and Chemical Products,0.0545411997378
Belgium-Rubber and Plastics,0.00983346532691
Belgium-Other Non-Metallic Mineral,0.0104543336645
Belgium-Basic Metals and Fabricated Metal,0.0306849516012
"Belgium-Machinery, Nec",0.0200255703578
Belgium-Electrical and Optical Equipment,0.0146723556326
Belgium-Transport Equipment,0.0316389399771
"Belgium-Manufacturing, Nec; Recycling",0.00847295358844
"Belgium-Electricity, Gas and Water Supply",0.0148384397218
Belgium-Construction,-0.00174056185038
