,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.0434013950015
Australia-Mining and Quarrying,0.105181039394
"Australia-Food, Beverages and Tobacco",0.0415603363427
Australia-Textiles and Textile Products,0.0422978831772
"Australia-Leather, Leather and Footwear",0.0409724103188
Australia-Wood and Products of Wood and Cork,0.0398944538717
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.0371752807667
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.0472774963953
Australia-Chemicals and Chemical Products,0.0463859018511
Australia-Rubber and Plastics,0.0418327594942
Australia-Other Non-Metallic Mineral,0.0400710898505
Australia-Basic Metals and Fabricated Metal,0.0674555110411
"Australia-Machinery, Nec",0.0475995141555
Australia-Electrical and Optical Equipment,0.0437960370095
Australia-Transport Equipment,0.0448426122982
"Australia-Manufacturing, Nec; Recycling",0.0420406535687
"Australia-Electricity, Gas and Water Supply",0.029760182727
Australia-Construction,-0.0194224822071
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.0370732281199
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.00981734324379
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0198970816311
Australia-Hotels and Restaurants,0.0326403827173
Australia-Inland Transport,0.0319359783318
Australia-Water Transport,0.0405031678915
Australia-Air Transport,0.0493099655012
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.0354993396194
Australia-Post and Telecommunications,0.0349259641798
Australia-Financial Intermediation,0.00453108502509
Australia-Real Estate Activities,-0.0271637252596
Australia-Renting of M&Eq and Other Business Activities,0.0144627983093
Australia-Public Admin and Defence; Compulsory Social Security,0.0152218328024
Australia-Education,0.0257251433869
Australia-Health and Social Work,0.00870366329749
"Australia-Other Community, Social and Personal Services",0.0241354002511
Australia-Private Households with Employed Persons,0.0404879951367
"Austria-Agriculture, Hunting, Forestry and Fishing",0.0412676181437
Austria-Mining and Quarrying,0.0420928333123
"Austria-Food, Beverages and Tobacco",0.048765158283
Austria-Textiles and Textile Products,0.0480623401571
"Austria-Leather, Leather and Footwear",0.0432584875632
Austria-Wood and Products of Wood and Cork,0.047080289435
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.0518386307689
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.055658557143
Austria-Chemicals and Chemical Products,0.0581641055623
Austria-Rubber and Plastics,0.0478069903305
Austria-Other Non-Metallic Mineral,0.0445036574795
Austria-Basic Metals and Fabricated Metal,0.0596138431028
"Austria-Machinery, Nec",0.0709239189786
Austria-Electrical and Optical Equipment,0.0671158552282
