,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.0348412388929
Australia-Mining and Quarrying,0.0818977195776
"Australia-Food, Beverages and Tobacco",0.0298817551949
Australia-Textiles and Textile Products,0.0306714836123
"Australia-Leather, Leather and Footwear",0.029848768015
Australia-Wood and Products of Wood and Cork,0.0286148221946
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.0260876823342
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.0375015599401
Australia-Chemicals and Chemical Products,0.0348951035799
Australia-Rubber and Plastics,0.0307005070202
Australia-Other Non-Metallic Mineral,0.0292796805539
Australia-Basic Metals and Fabricated Metal,0.0654766173203
"Australia-Machinery, Nec",0.0365406972636
Australia-Electrical and Optical Equipment,0.0326237236645
Australia-Transport Equipment,0.0338977749892
"Australia-Manufacturing, Nec; Recycling",0.0310551770136
"Australia-Electricity, Gas and Water Supply",0.0190662442144
Australia-Construction,-0.0341329220469
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.0257113731941
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",-0.00225708515637
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.00905702415266
Australia-Hotels and Restaurants,0.0219256088232
Australia-Inland Transport,0.0217225818163
Australia-Water Transport,0.0294400476043
Australia-Air Transport,0.0374206154757
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.0246513360136
Australia-Post and Telecommunications,0.0235559881379
Australia-Financial Intermediation,-0.0143029190092
Australia-Real Estate Activities,-0.0403199025456
Australia-Renting of M&Eq and Other Business Activities,0.000855175677968
Australia-Public Admin and Defence; Compulsory Social Security,0.00351130422011
Australia-Education,0.0135566379093
Australia-Health and Social Work,-0.0035776842208
"Australia-Other Community, Social and Personal Services",0.0125183138976
Australia-Private Households with Employed Persons,0.0293900979673
"Austria-Agriculture, Hunting, Forestry and Fishing",0.0302064270964
Austria-Mining and Quarrying,0.0311172014513
"Austria-Food, Beverages and Tobacco",0.0376861524487
Austria-Textiles and Textile Products,0.0362295907638
"Austria-Leather, Leather and Footwear",0.0315560397781
Austria-Wood and Products of Wood and Cork,0.0355111805764
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.0396552492664
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.0463860125255
Austria-Chemicals and Chemical Products,0.046168924323
Austria-Rubber and Plastics,0.0360478405091
Austria-Other Non-Metallic Mineral,0.0331637442
Austria-Basic Metals and Fabricated Metal,0.0490090932068
"Austria-Machinery, Nec",0.0582631748898
Austria-Electrical and Optical Equipment,0.0527048823697
Austria-Transport Equipment,0.0514503077309
"Austria-Manufacturing, Nec; Recycling",0.0357706579155
"Austria-Electricity, Gas and Water Supply",0.0348571866751
Austria-Construction,0.023515961807
"Austria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.0275189245581
"Austria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0228386450728
"Austria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0185202629275
Austria-Hotels and Restaurants,0.0219020882719
Austria-Inland Transport,0.0346276204084
Austria-Water Transport,0.0297898033298
Austria-Air Transport,0.0330061699367
Austria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.0318874404332
Austria-Post and Telecommunications,0.0310006969984
Austria-Financial Intermediation,0.0327988072429
Austria-Real Estate Activities,-0.00221241051224
Austria-Renting of M&Eq and Other Business Activities,0.0369434619083
Austria-Public Admin and Defence; Compulsory Social Security,0.0103713270933
Austria-Education,0.0125891524057
Austria-Health and Social Work,0.0126785238733
"Austria-Other Community, Social and Personal Services",0.0210319895645
Austria-Private Households with Employed Persons,0.0293062248531
"Belgium-Agriculture, Hunting, Forestry and Fishing",0.0345891262664
Belgium-Mining and Quarrying,0.0320416189726
"Belgium-Food, Beverages and Tobacco",0.0597878899494
Belgium-Textiles and Textile Products,0.0425023903989
"Belgium-Leather, Leather and Footwear",0.0298875467811
Belgium-Wood and Products of Wood and Cork,0.0336266500012
"Belgium-Pulp, Paper, Paper , Printing and Publishing",0.0371883278572
"Belgium-Coke, Refined Petroleum and Nuclear Fuel",0.0627271953256
Belgium-Chemicals and Chemical Products,0.0833820876361
Belgium-Rubber and Plastics,0.0395598458164
Belgium-Other Non-Metallic Mineral,0.0405141579803
Belgium-Basic Metals and Fabricated Metal,0.0607819698081
"Belgium-Machinery, Nec",0.0484402312822
Belgium-Electrical and Optical Equipment,0.0447122233646
Belgium-Transport Equipment,0.0753170772142
"Belgium-Manufacturing, Nec; Recycling",0.0381952389565
"Belgium-Electricity, Gas and Water Supply",0.041226321526
Belgium-Construction,0.026294945719
"Belgium-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.0284252717235
"Belgium-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0298218626165
"Belgium-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0224835583928
Belgium-Hotels and Restaurants,0.0308857354531
Belgium-Inland Transport,0.0311377527013
Belgium-Water Transport,0.0306551428496
Belgium-Air Transport,0.0310202242215
Belgium-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.039341749053
Belgium-Post and Telecommunications,0.0321730965572
Belgium-Financial Intermediation,0.0234901681972
Belgium-Real Estate Activities,0.00360515649904
Belgium-Renting of M&Eq and Other Business Activities,0.0440081751491
Belgium-Public Admin and Defence; Compulsory Social Security,0.00898754200837
Belgium-Education,0.0137614352112
Belgium-Health and Social Work,0.0107204301813
"Belgium-Other Community, Social and Personal Services",0.027481035278
Belgium-Private Households with Employed Persons,0.028826456058
"Bulgaria-Agriculture, Hunting, Forestry and Fishing",0.0206244391927
Bulgaria-Mining and Quarrying,0.0245204386277
"Bulgaria-Food, Beverages and Tobacco",0.018411190008
Bulgaria-Textiles and Textile Products,0.030153674912
"Bulgaria-Leather, Leather and Footwear",0.0294525675847
Bulgaria-Wood and Products of Wood and Cork,0.029828442667
"Bulgaria-Pulp, Paper, Paper , Printing and Publishing",0.0309618648893
"Bulgaria-Coke, Refined Petroleum and Nuclear Fuel",0.0234826807455
Bulgaria-Chemicals and Chemical Products,0.0323270330219
Bulgaria-Rubber and Plastics,0.0309450067985
